OAMmode,50,Standard deviation
40,0.0144804815063253,0.00151614551684855
41,0.00183767500857357,0.000315862965553633
42,0.000399469334752212,0.000234553613977809
43,0.000576992730202619,0.00031749657299336
44,0.000217238059804004,0.000158934792914895
45,0.000428411389293615,0.000264480972134149
46,0.000685703580529662,0.000213071546743399
47,0.00323038014175836,0.000537826025158502
48,0.00360382853250485,0.000627027660285436
49,0.0154470799898263,0.00554283663963797
50,0.933122616261244,0.00168438653519836
51,0.0189653827692382,0.00686374982221366
52,0.00309079517319333,0.000626294485049675
53,0.0012267001256987,0.000237891873088189
54,0.000572279574043932,0.000119868233538124
55,0.000375343417545082,0.000148693888418281
56,0.000187527793514164,8.0635057153754e-05
57,0.000240274323004996,0.000105065594810034
58,6.96927897934074e-05,4.58856437339114e-05
59,0.000123713483162646,9.69360034828247e-05
60,0.00111843824197422,0.000147565266827394
