OAMmode,S,U,S ,T,e,c,h
-8,0.956633164471999,0.922715178887194,0.9620991494748,0.0211210636176744,1,0.768600310404004,0.00412504771846601
-6,0.452758304553855,0.00956570790964207,0.459440390628638,0.0042740258432865,0.0602436661103565,0.587834626476165,0.0156093709158281
-4,0.00363481077563313,0.655154659477884,0.00348991595303056,0.551523364420643,0.698452103493951,0.0583760483282998,0.0583444067620931
-2,0.0431407225760212,0.0596408561100498,0.0454204513156013,0.0270459502857516,0.0187422735999496,0.00173467997252939,1
2,1,1,1,0.984986659245806,0.000200353428182074,0.0322674480790152,0.00751866476668667
4,0.0507440836742068,0.013287554212822,0.0471065144465039,0.00877181119190556,0.952262509382811,1,0.445112240612953
6,0.503330552911568,0.639469808344048,0.498667962408777,1,0.731642214152036,0.614727501459098,0.981513206340257
8,0.0394990722677661,0.00339986277448076,0.0400776379537579,0.00279559601425532,0.0107756289296675,0.0663392087784954,0.069270391617146
